Overall_Portfolio_Delta,Overall_Portfolio_Vega,Overall_Portfolio_Theta,Overall_Portfolio_Gamma,Portfolio_Running_Balance
0.0,0.0,0.0,0.0,10000.0
0.0794575209232388,1.81492506139682e-06,-55.34543913854395,2.814464450070556e-07,50677069.525000006
0.0866983472494452,1.81492506139682e-06,-55.34543913854395,6.413559299878555e-07,50677069.525000006
0.1473134771350442,0.0007143496157658968,-110.77588239265174,-6.294959536540513e-07,57685937.650000006
0.1473134771350442,0.0007143496157658968,-110.77588239265174,-6.294959536540513e-07,57685937.650000006
0.6225302643813624,0.1758901930064703,-416.60534321634236,2.3810945158898594e-06,57688439.650000006
0.7126621229598138,1.3485649655841812,-542.3041231431541,2.323502053427524e-06,57689461.25000001
0.7767762307355229,1.3488412231236975,-619.7273693520187,1.8385526303229944e-06,57700973.85000001
1.7767762341066362,1.348841074274621,-615.8646405865632,1.8385526190529625e-06,63491893.775000006
1.7767762341066362,1.348841074274621,-615.8646405865632,1.8385526190529625e-06,63491893.775000006
1.7767762341066362,1.348841074274621,-615.8646405865632,1.8385526190529625e-06,63491893.775000006
1.7767762341066362,1.348841074274621,-615.8646405865632,1.8385526190529625e-06,63491893.775000006
1.7767762341066362,1.348841074274621,-615.8646405865632,1.8385526190529625e-06,63491893.775000006
1.7767762341066362,1.348841074274621,-615.8646405865632,1.8385526190529625e-06,63491893.775000006
1.7767762341066362,1.348841074274621,-615.8646405865632,1.8385526190529625e-06,63491893.775000006
1.7767762341066362,1.348841074274621,-615.8646405865632,1.8385526190529625e-06,63491893.775000006
1.7767762341066362,1.348841074274621,-615.8646405865632,1.8385526190529625e-06,63491893.775000006
1.7767762341066362,1.348841074274621,-615.8646405865632,1.8385526190529625e-06,63491893.775000006
1.7767762341066362,1.348841074274621,-615.8646405865632,1.8385526190529625e-06,63491893.775000006
2.77677621766661,1.3488995604228122,-612.2442443272431,1.8385526190529625e-06,63491893.775000006
2.77677621766661,1.3488995604228122,-612.2442443272431,1.8385526190529625e-06,63491893.775000006
2.77677621766661,1.3488995604228122,-612.2442443272431,1.8385526190529625e-06,63491893.775000006
2.77677621766661,1.3488995604228122,-612.2442443272431,1.8385526190529625e-06,63491893.775000006
2.77677621766661,1.3488995604228122,-612.2442443272431,1.8385526190529625e-06,63491893.775000006
2.77677621766661,1.3488995604228122,-612.2442443272431,1.8385526190529625e-06,63491893.775000006
2.77677621766661,1.3488995604228122,-612.2442443272431,1.8385526190529625e-06,63491893.775000006
2.77677621766661,1.3488995604228122,-612.2442443272431,1.8385526190529625e-06,63491893.775000006
2.77677621766661,1.3488995604228122,-612.2442443272431,1.8385526190529625e-06,63491893.775000006
3.776774657618817,1.3488979462611872,-605.2322700840814,1.8279294722016018e-06,66195433.775000006
4.776774663870683,1.3489351848396303,-601.0804015694207,8.940068655745281e-09,66195433.775000006
5.776774666905159,1.348935223872156,-597.7495821900021,8.939812080241486e-09,66195433.775000006
5.776774666905159,1.348935223872156,-597.7495821900021,8.939812080241486e-09,66195433.775000006
5.776774666905159,1.348935223872156,-597.7495821900021,8.939812080241486e-09,66195433.775000006
5.776774666905159,1.348935223872156,-597.7495821900021,8.939812080241486e-09,66195433.775000006
6.776774719632205,1.3486544139269037,-591.8111794126464,3.6469186191719545e-06,66195433.775000006
7.759452901456627,1.348648858623271,-585.2647048005756,-3.973604486271335e-06,66195433.775000006
8.759452916303218,1.3485057666849727,-578.3787077009712,-6.247341240703656e-06,66195433.775000006
9.759452923419104,1.3484039013229605,-573.1677338422242,-1.0794814749568297e-05,66195433.775000006
9.759452923419104,1.3484039013229605,-573.1677338422242,-1.0794814749568297e-05,66195433.775000006
9.759452923419104,1.3484039013229605,-573.1677338422242,-1.0794814749568297e-05,66195433.775000006
9.946670918189785,1.348505939974049,-749.2303062545252,-2.677925357759941e-06,66209276.275000006
9.946670918189785,1.348505939974049,-749.2303062545252,-2.677925357759941e-06,66209276.275000006
9.946670918189785,1.348505939974049,-749.2303062545252,-2.677925357759941e-06,66209276.275000006
10.946399247869568,1.3285895571484359,-740.7571430997509,-8.589359542140843e-07,66209276.275000006
11.946395848109251,1.3281683048503252,-732.4506932905333,9.600534493317722e-07,66209276.275000006
11.946395848109251,1.3281683048503252,-732.4506932905333,9.600534493317722e-07,66209276.275000006
