CF_DATE,stock_profit_next_day,option_profit,net_profit
2020-05-15,0.0,-43.3,-43.3
2020-05-15,0.0,-45.3,-45.3
2020-05-15,0.0,-6.0,-6.0
2020-05-15,0.0,-7.4,-7.4
2020-05-15,0.0,597295.2,597295.2
2020-05-15,0.0,-51.8,-51.8
2020-05-15,0.0,-49.6,-49.6
2020-05-15,0.0,-47.4,-47.4
2020-05-15,0.0,-12.3,-12.3
2020-05-15,0.0,364646.8,364646.8
2020-05-15,0.0,211196.4,211196.4
2020-05-15,0.0,52675.899999999994,52675.899999999994
2020-05-15,0.0,32807.99999999999,32807.99999999999
2020-05-15,0.0,206246.3,206246.3
2020-05-15,0.0,250796.9,250796.9
2020-05-15,0.0,27837.899999999994,27837.899999999994
2020-05-15,0.0,22866.699999999993,22866.699999999993
2020-05-15,0.0,260697.0,260697.0
2020-05-15,0.0,17894.09999999999,17894.09999999999
2020-05-15,0.0,12920.399999999992,12920.399999999992
2020-05-15,0.0,270597.0,270597.0
2020-05-15,0.0,7945.399999999992,7945.399999999992
2020-05-15,0.0,72526.0,72526.0
2020-05-15,0.0,141889.7,141889.7
2020-05-15,0.0,112176.8,112176.8
2020-05-15,0.0,151791.9,151791.9
2020-05-15,0.0,102269.1,102269.1
2020-05-15,0.0,201296.1,201296.1
2020-05-15,0.0,156742.7,156742.7
2020-05-15,0.0,87402.1,87402.1
2020-05-15,0.0,181495.3,181495.3
2020-05-15,0.0,82444.5,82444.5
2020-05-15,0.0,77485.8,77485.8
2020-05-15,0.0,-99.1,-99.1
2020-05-15,0.0,2969.399999999993,2969.399999999993
2020-05-15,0.0,-490.6,-490.6
2020-05-15,0.0,-225.3,-225.3
2020-05-15,0.0,404246.5,404246.5
2020-05-15,0.0,-205.7,-205.7
2020-05-15,0.0,419096.4,419096.4
2020-05-15,0.0,-187.8,-187.8
2020-05-15,0.0,424046.4,424046.4
2020-05-15,0.0,-179.5,-179.5
2020-05-15,0.0,433946.3,433946.3
2020-05-15,0.0,-171.5,-171.5
2020-05-15,0.0,394346.6,394346.6
2020-05-15,0.0,-163.9,-163.9
2020-05-15,0.0,-156.6,-156.6
2020-05-15,0.0,-149.7,-149.7
2020-05-15,0.0,-143.1,-143.1
2020-05-15,0.0,-136.7,-136.7
2020-05-15,0.0,-130.7,-130.7
2020-05-15,0.0,-119.3,-119.3
2020-05-15,0.0,-113.9,-113.9
2020-05-15,0.0,-108.8,-108.8
2020-05-15,0.0,-103.8,-103.8
2020-05-15,0.0,443846.3,443846.3
2020-05-15,0.0,-235.7,-235.7
2020-05-15,0.0,384446.6,384446.6
2020-05-15,0.0,-468.6,-468.6
2020-05-15,0.0,-447.6,-447.6
2020-05-15,0.0,-427.5,-427.5
2020-05-15,0.0,-408.3,-408.3
2020-05-15,0.0,-390.0,-390.0
2020-05-15,0.0,-246.7,-246.7
2020-05-15,0.0,-355.9,-355.9
2020-05-15,0.0,-340.1,-340.1
2020-05-15,0.0,-324.7,-324.7
2020-05-15,0.0,354746.8,354746.8
2020-05-15,0.0,-310.1,-310.1
2020-05-15,0.0,-296.3,-296.3
2020-05-15,0.0,-283.1,-283.1
2020-05-15,0.0,369596.7,369596.7
2020-05-15,0.0,-270.3,-270.3
2020-05-15,,-258.4,
