CF_DATE,EXPIR_DATE_call,EXPIR_DATE_put,STRIKE_PRC_call,STRIKE_PRC_put,CF_CLOSE_x_call,CF_CLOSE_x_put,CF_CLOSE_y_next,profit_from_call_sold,profit_from_put_sold,total_profit_loss_sold
2020-05-12,2020-06-19,2020-06-19,9300.0,10950.0,1189.3,772.3,10819.5,-33020.0,64180.0,31160.0
2020-05-12,2020-06-19,2020-06-19,9300.0,10950.0,1189.3,772.3,10819.5,-33020.0,64180.0,31160.0
2020-05-12,2020-06-19,2020-06-19,9300.0,10950.0,1189.3,772.3,10542.66,-5335.999999999985,36495.999999999985,31160.0
2020-05-13,2020-06-19,2020-06-19,9950.0,12100.0,677.5,1789.6,10542.66,8484.000000000015,23226.0,31710.000000000015
2020-05-13,2020-06-19,2020-06-19,9950.0,12100.0,677.5,1789.6,10542.66,8484.000000000015,23226.0,31710.000000000015
2020-05-13,2020-06-19,2020-06-19,9950.0,12100.0,677.5,1789.6,10542.66,8484.000000000015,23226.0,31710.000000000015
2020-05-13,2020-06-19,2020-06-19,9950.0,12100.0,677.5,1789.6,10542.66,8484.000000000015,23226.0,31710.000000000015
2020-05-13,2020-06-19,2020-06-19,9950.0,12100.0,677.5,1789.6,10542.66,8484.000000000015,23226.0,31710.000000000015
2020-05-13,2020-06-19,2020-06-19,9950.0,12100.0,677.5,1789.6,10542.66,8484.000000000015,23226.0,31710.000000000015
2020-05-13,2020-06-19,2020-06-19,9950.0,12100.0,677.5,1789.6,10542.66,8484.000000000015,23226.0,31710.000000000015
2020-05-13,2020-06-19,2020-06-19,9950.0,12100.0,677.5,1789.6,10337.02,29047.999999999956,2662.000000000058,31710.000000000015
2020-05-14,2020-06-19,2020-06-19,10150.0,10850.0,539.7,706.4,10337.02,35267.99999999996,19342.000000000044,54610.00000000001
2020-05-14,2020-06-19,2020-06-19,10150.0,10850.0,539.7,706.4,10337.02,35267.99999999996,19342.000000000044,54610.00000000001
2020-05-14,2020-06-19,2020-06-19,10150.0,10850.0,539.7,706.4,10337.02,35267.99999999996,19342.000000000044,54610.00000000001
2020-05-14,2020-06-19,2020-06-19,10150.0,10850.0,539.7,706.4,10337.02,35267.99999999996,19342.000000000044,54610.00000000001
2020-05-14,2020-06-19,2020-06-19,10150.0,10850.0,539.7,706.4,10337.02,35267.99999999996,19342.000000000044,54610.00000000001
2020-05-14,2020-06-19,2020-06-19,10150.0,10850.0,539.7,706.4,10337.02,35267.99999999996,19342.000000000044,54610.00000000001
2020-05-14,2020-06-19,2020-06-19,10150.0,10850.0,539.7,706.4,10337.02,35267.99999999996,19342.000000000044,54610.00000000001
2020-05-14,2020-06-19,2020-06-19,10150.0,10850.0,539.7,706.4,10337.02,35267.99999999996,19342.000000000044,54610.00000000001
2020-05-14,2020-06-19,2020-06-19,10150.0,10850.0,539.7,706.4,10337.02,35267.99999999996,19342.000000000044,54610.00000000001
2020-05-14,2020-06-19,2020-06-19,10150.0,10850.0,539.7,706.4,10337.02,35267.99999999996,19342.000000000044,54610.00000000001
2020-05-14,2020-06-19,2020-06-19,10150.0,10850.0,539.7,706.4,10337.02,35267.99999999996,19342.000000000044,54610.00000000001
2020-05-14,2020-06-19,2020-06-19,10150.0,10850.0,539.7,706.4,10337.02,35267.99999999996,19342.000000000044,54610.00000000001
2020-05-14,2020-06-19,2020-06-19,10150.0,10850.0,539.7,706.4,10337.02,35267.99999999996,19342.000000000044,54610.00000000001
2020-05-14,2020-06-19,2020-06-19,10150.0,10850.0,539.7,706.4,10337.02,35267.99999999996,19342.000000000044,54610.00000000001
2020-05-14,2020-06-19,2020-06-19,10150.0,10850.0,539.7,706.4,10337.02,35267.99999999996,19342.000000000044,54610.00000000001
2020-05-14,2020-06-19,2020-06-19,10150.0,10850.0,539.7,706.4,10337.02,35267.99999999996,19342.000000000044,54610.00000000001
2020-05-14,2020-06-19,2020-06-19,10150.0,10850.0,539.7,706.4,10337.02,35267.99999999996,19342.000000000044,54610.00000000001
2020-05-14,2020-06-19,2020-06-19,10150.0,10850.0,539.7,706.4,10337.02,35267.99999999996,19342.000000000044,54610.00000000001
2020-05-14,2020-06-19,2020-06-19,10150.0,10850.0,539.7,706.4,10337.02,35267.99999999996,19342.000000000044,54610.00000000001
