Unnamed: 0,Instrument,CF_DATE,EXPIR_DATE,PUTCALLIND,STRIKE_PRC,CF_CLOSE,IMP_VOLT,T,MARKET_PRICE,MODEL_PRICE
257,/GDAX124000F0.EX,2020-05-15,2020-06-19,CALL,12400.0,2.6,24.54,0.09582477754962354,0.0,0.0
254,/GDAX123000R0.EX,2020-05-15,2020-06-19,PUT ,12300.0,1987.7,24.64,0.09582477754962354,10312.3,10313.08971734247
213,/GDAX113000F0.EX,2020-05-15,2020-06-19,CALL,11300.0,54.7,24.67,0.09582477754962354,0.0,0.0
214,/GDAX113000R0.EX,2020-05-15,2020-06-19,PUT ,11300.0,1038.5,24.69,0.09582477754962354,10261.5,10262.225512680481
259,/GDAX124500F0.EX,2020-05-14,2020-06-19,CALL,12450.0,2.4,24.75,0.09856262833675565,0.0,0.0
256,/GDAX123500R0.EX,2020-04-16,2020-06-19,PUT ,12350.0,2037.4,24.86,0.17522245037645448,10312.6,10314.049963276124
261,/GDAX125000F0.EX,2020-05-15,2020-06-19,CALL,12500.0,2.2,24.94,0.09582477754962354,0.0,0.0
211,/GDAX112500F0.EX,2020-05-15,2020-06-19,CALL,11250.0,63.5,25.01,0.09582477754962354,0.0,0.0
212,/GDAX112500R0.EX,2020-05-15,2020-06-19,PUT ,11250.0,997.2,25.03,0.09582477754962354,10252.8,10253.52230244738
258,/GDAX124000R0.EX,2020-05-05,2020-06-19,PUT ,12400.0,2087.2,25.13,0.12320328542094455,10312.8,10313.823615142468
263,/GDAX125500F0.EX,2020-05-12,2020-06-19,CALL,12550.0,2.0,25.2,0.10403832991101986,0.0,0.0
260,/GDAX124500R0.EX,2020-03-11,2020-06-19,PUT ,12450.0,2137.0,25.37,0.2737850787132101,10313.0,10315.283987710469
209,/GDAX112000F0.EX,2020-05-15,2020-06-19,CALL,11200.0,73.4,25.39,0.09582477754962354,0.0,0.0
210,/GDAX112000R0.EX,2020-05-15,2020-06-19,PUT ,11200.0,957.0,25.4,0.09582477754962354,10243.0,10243.719092214282
265,/GDAX126000F0.EX,2020-05-12,2020-06-19,CALL,12600.0,1.9,25.45,0.10403832991101986,0.0,0.0
267,/GDAX126500F0.EX,2020-05-12,2020-06-19,CALL,12650.0,1.7,25.67,0.10403832991101986,0.0,0.0
262,/GDAX125000R0.EX,2020-05-15,2020-06-19,PUT ,12500.0,2186.9,25.68,0.09582477754962354,10313.1,10313.902558274867
207,/GDAX111500F0.EX,2020-05-15,2020-06-19,CALL,11150.0,84.4,25.77,0.09582477754962354,0.0,0.0
208,/GDAX111500R0.EX,2020-04-29,2020-06-19,PUT ,11150.0,918.0,25.78,0.13963039014373715,10232.0,10233.043157623737
269,/GDAX127000F0.EX,2020-05-14,2020-06-19,CALL,12700.0,1.6,25.87,0.09856262833675565,0.0,0.0
264,/GDAX125500R0.EX,2020-05-15,2020-06-19,PUT ,12550.0,2236.7,25.97,0.09582477754962354,10313.3,10314.105768507969
205,/GDAX111000F0.EX,2020-05-15,2020-06-19,CALL,11100.0,96.4,26.14,0.09582477754962354,0.0,0.0
206,/GDAX111000R0.EX,2020-05-14,2020-06-19,PUT ,11100.0,880.0,26.15,0.09856262833675565,10220.0,10220.733034470359
271,/GDAX127500F0.EX,2020-05-11,2020-06-19,CALL,12750.0,1.5,26.19,0.10677618069815195,0.0,0.0
266,/GDAX126000R0.EX,2020-05-15,2020-06-19,PUT ,12600.0,2286.6,26.25,0.09582477754962354,10313.4,10314.208978741066
273,/GDAX128000F0.EX,2020-05-15,2020-06-19,CALL,12800.0,1.4,26.34,0.09582477754962354,0.0,0.0
268,/GDAX126500R0.EX,2020-05-14,2020-06-19,PUT ,12650.0,2336.5,26.5,0.09856262833675565,10313.5,10314.335395139642
203,/GDAX110500F0.EX,2020-05-15,2020-06-19,CALL,11050.0,109.4,26.5,0.09582477754962354,0.0,0.0
204,/GDAX110500R0.EX,2020-05-08,2020-06-19,PUT ,11050.0,843.0,26.53,0.11498973305954825,10207.0,10207.851359283974
275,/GDAX128500F0.EX,2020-05-11,2020-06-19,CALL,12850.0,1.3,26.63,0.10677618069815195,0.0,0.0
270,/GDAX127000R0.EX,2020-05-06,2020-06-19,PUT ,12700.0,2386.4,26.85,0.12046543463381246,10313.6,10314.62508175086
201,/GDAX110000F0.EX,2020-05-15,2020-06-19,CALL,11000.0,123.6,26.89,0.09582477754962354,0.0,0.0
202,/GDAX110000R0.EX,2020-05-15,2020-06-19,PUT ,11000.0,807.1,26.89,0.09582477754962354,10192.9,10193.606251281883
277,/GDAX129000F0.EX,2020-05-11,2020-06-19,CALL,12900.0,1.2,26.9,0.10677618069815195,0.0,0.0
279,/GDAX129500F0.EX,2020-05-11,2020-06-19,CALL,12950.0,1.1,27.16,0.10677618069815195,0.0,0.0
272,/GDAX127500R0.EX,2020-03-19,2020-06-19,PUT ,12750.0,2436.3,27.19,0.2518822724161533,10313.7,10315.851885884349
199,/GDAX109500F0.EX,2020-05-15,2020-06-19,CALL,10950.0,138.9,27.27,0.09582477754962354,0.0,0.0
200,/GDAX109500R0.EX,2020-05-12,2020-06-19,PUT ,10950.0,772.3,27.28,0.10403832991101986,10177.7,10178.463303810391
281,/GDAX130000F0.EX,2020-05-15,2020-06-19,CALL,13000.0,1.0,27.4,0.09582477754962354,0.0,0.0
274,/GDAX128000R0.EX,2020-04-29,2020-06-19,PUT ,12800.0,2486.3,27.51,0.13963039014373715,10313.7,10314.8975262407
283,/GDAX130500F0.EX,2020-05-11,2020-06-19,CALL,13050.0,1.0,27.63,0.10677618069815195,0.0,0.0
197,/GDAX109000F0.EX,2020-05-15,2020-06-19,CALL,10900.0,155.3,27.65,0.09582477754962354,0.0,0.0
198,/GDAX109000R0.EX,2020-05-14,2020-06-19,PUT ,10900.0,738.7,27.65,0.09856262833675565,10161.3,10162.019826642063
276,/GDAX128500R0.EX,2020-04-21,2020-06-19,PUT ,12850.0,2536.2,27.83,0.16153319644079397,10313.8,10315.190795314371
285,/GDAX131000F0.EX,2020-05-11,2020-06-19,CALL,13100.0,0.9,27.84,0.10677618069815195,0.0,0.0
287,/GDAX131500F0.EX,2020-04-28,2020-06-19,CALL,13150.0,0.9,28.04,0.14236824093086928,0.0,0.0
196,/GDAX108500R0.EX,2020-05-14,2020-06-19,PUT ,10850.0,706.4,28.05,0.09856262833675565,10143.6,10144.316524684991
195,/GDAX108500F0.EX,2020-05-15,2020-06-19,CALL,10850.0,172.9,28.05,0.09582477754962354,0.0,0.0
278,/GDAX129000R0.EX,2020-05-05,2020-06-19,PUT ,12900.0,2586.2,28.14,0.12320328542094455,10313.8,10314.864889946599
289,/GDAX132000F0.EX,2020-05-11,2020-06-19,CALL,13200.0,0.8,28.21,0.10677618069815195,0.0,0.0
280,/GDAX129500R0.EX,2020-05-06,2020-06-19,PUT ,12950.0,2636.1,28.43,0.12046543463381246,10313.9,10314.945260525483
