Unnamed: 0,Instrument,CF_DATE,EXPIR_DATE,PUTCALLIND,STRIKE_PRC,CF_CLOSE_x,IMP_VOLT,CF_CLOSE_y,DELTA,VEGA,THETA,GAMMA,DELTA_HEDGE,VEGA_HEDGE,THETA_HEDGE,GAMMA_HEDGE,Price_Change,Price_Change_Abs
295,/GDAX133500F0.EX,2020-03-12,2020-06-19,CALL,13350.0,0.7,28.88,9161.13,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-1277.550000000001,1277.550000000001
248,/GDAX121500R0.EX,2020-03-12,2020-06-19,PUT ,12150.0,1839.0,24.0,9161.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343,/GDAX145500F0.EX,2020-03-12,2020-06-19,CALL,14550.0,0.2,34.0,9161.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
346,/GDAX146000R0.EX,2020-03-12,2020-06-19,PUT ,14600.0,4286.5,40.6,9161.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323,/GDAX140500F0.EX,2020-03-13,2020-06-19,CALL,14050.0,0.3,32.08,9232.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.95000000000073,70.95000000000073
339,/GDAX144500F0.EX,2020-03-13,2020-06-19,CALL,14450.0,0.3,33.36,9232.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,/GDAX76000F0.EX,2020-03-16,2020-06-19,CALL,7600.0,2755.2,59.48,8742.25,0.9999984399522068,-1.6141616251303573e-06,7.011974243161717,-1.0623146851360624e-08,-489.8292358417893,0.0007906647888376,-3434.675343527904,5.203536022201974e-06,-489.8299999999999,489.8299999999999
15,/GDAX45000F0.EX,2020-03-16,2020-06-19,CALL,4500.0,5822.8,105.36,8742.25,1.0000000062518666,3.723857844306622e-05,4.151868514660691,-1.8189894035458565e-06,0.0,0.0,0.0,-0.0,0.0,0.0
3,/GDAX36000F0.EX,2020-03-17,2020-06-19,CALL,3600.0,6722.5,130.77,8939.1,1.0000000030344758,3.9032525613430585e-08,3.3308193794185854,-2.565755037952637e-13,196.85000059733693,7.683552667003823e-06,655.6717948385498,-5.050688792209775e-11,196.85000000000036,196.85000000000036
351,/GDAX147500F0.EX,2020-03-17,2020-06-19,CALL,14750.0,0.2,35.27,8939.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
327,/GDAX141500F0.EX,2020-03-17,2020-06-19,CALL,14150.0,0.3,32.15,8939.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310,/GDAX137000R0.EX,2020-03-18,2020-06-19,PUT ,13700.0,3386.1,33.71,8441.71,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-497.39000000000124,497.39000000000124
41,/GDAX64000F0.EX,2020-03-18,2020-06-19,CALL,6400.0,3931.1,72.32,8441.71,1.0000000527270458,-0.0002808099452522,5.938402777355691,3.637978807091713e-06,0.0,-0.0,0.0,0.0,0.0,0.0
93,/GDAX83000F0.EX,2020-03-19,2020-06-19,CALL,8300.0,2086.8,52.32,8610.43,0.9826781818244223,-5.555303632735489e-06,6.546474612070824,-7.620523105443289e-06,165.7974628374177,-0.0009372908289151,1104.5211965485971,-0.0012857346583504,168.72000000000116,168.72000000000116
59,/GDAX74000F0.EX,2020-03-19,2020-06-19,CALL,7400.0,2949.1,61.53,8610.43,1.0000000148465915,-0.0001430919382983,6.885997099604424,-2.2737367544323206e-06,0.0,-0.0,0.0,-0.0,0.0,0.0
29,/GDAX56000F0.EX,2020-03-19,2020-06-19,CALL,5600.0,4725.4,83.6,8610.43,1.0000000071158863,-0.0001018653620121,5.210973858747025,-4.547473508864641e-06,0.0,-0.0,0.0,-0.0,0.0,0.0
272,/GDAX127500R0.EX,2020-03-19,2020-06-19,PUT ,12750.0,2436.3,27.19,8610.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
365,/GDAX160000F0.EX,2020-03-20,2020-06-19,CALL,16000.0,0.1,39.5,8928.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.52000000000044,318.52000000000044
115,/GDAX88500F0.EX,2020-03-23,2020-06-19,CALL,8850.0,1582.0,46.87,8741.15,0.1872179947706802,0.0001020386510887,-176.06257241230105,8.116889391808356e-06,-35.15953941793396,-0.0191628586744627,33064.55109903033,-0.0015243518277816,-187.8000000000011,187.8000000000011
311,/GDAX137500F0.EX,2020-03-24,2020-06-19,CALL,13750.0,0.5,30.45,9700.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,959.4200000000001,959.4200000000001
306,/GDAX136000R0.EX,2020-03-24,2020-06-19,PUT ,13600.0,3286.0,32.97,9700.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,/GDAX92500F0.EX,2020-03-24,2020-06-19,CALL,9250.0,1231.7,43.07,9700.57,0.9997283296797832,-0.0199163828256132,8.473163154774284,1.8189894035458565e-06,0.0,-0.0,0.0,0.0,0.0,0.0
