PUTCALLIND,IMP_VOLT,PERCENTAGE_ERROR,OUTSIDE_THRESHOLD
PUT ,39.38,0.008995475544400706,False
CALL,39.5,,False
PUT ,39.69,0.0065747677802852605,False
PUT ,39.72,0.030692810609491365,False
CALL,39.74,,False
PUT ,40.05,0.009057815794333113,False
PUT ,40.16,0.0069439094163208075,False
CALL,40.22,,False
PUT ,40.6,0.02571023169621822,False
PUT ,40.63,0.006562562956855138,False
CALL,40.69,,False
PUT ,40.93,0.03935076917790883,False
PUT ,41.12,0.00674422252281333,False
CALL,41.18,,False
PUT ,41.25,0.009151284069704854,False
PUT ,41.58,0.006551353886166068,False
PUT ,41.58,0.009182410886261936,False
CALL,41.65,,False
PUT ,42.06,0.006546138047006961,False
CALL,42.11,,False
PUT ,42.13,0.010003297030655774,False
CALL,42.14,,False
PUT ,42.45,0.009244754157671686,False
PUT ,42.53,0.006541089516371531,False
CALL,42.6,,False
PUT ,42.77,0.041348516660519544,False
PUT ,43.0,0.006536282050619715,False
CALL,43.07,,False
PUT ,43.32,0.009307008394445893,False
PUT ,43.45,0.006531646176245217,False
CALL,43.55,,False
PUT ,43.64,0.016008754602280465,False
PUT ,43.92,0.006527256393717561,False
CALL,44.02,,False
PUT ,44.39,0.006523042839633628,False
CALL,44.49,,False
CALL,44.63,,False
PUT ,44.85,0.006518934524859999,False
CALL,44.95,,False
PUT ,45.32,0.006515079633179034,False
CALL,45.42,,False
PUT ,45.79,0.00818574442795749,False
CALL,45.91,,False
PUT ,46.25,0.006507698608381252,False
CALL,46.39,,False
PUT ,46.73,0.006504175302543646,False
CALL,46.87,,False
CALL,47.07,,False
PUT ,47.21,0.006500840223521691,False
CALL,47.35,,False
PUT ,47.43,0.012682697220798376,False
PUT ,47.69,0.006497545654830088,False
CALL,47.83,,False
PUT ,48.16,0.006494443131617644,False
CALL,48.32,,False
PUT ,48.65,0.006491459501700723,False
CALL,48.81,,False
PUT ,49.13,0.006488596461798952,False
CALL,49.29,,False
CALL,49.42,,False
PUT ,49.62,0.006485779132658566,False
CALL,49.81,,False
PUT ,50.1,0.006483162190955952,False
CALL,50.29,,False
PUT ,50.59,0.006480671251406461,False
CALL,50.81,,False
PUT ,51.08,0.006478230420185639,False
PUT ,51.09,0.031878893229542446,False
CALL,51.3,,False
PUT ,51.57,0.006660951033465416,False
CALL,51.7,,False
CALL,51.81,,False
PUT ,52.07,0.006473659400270407,False
CALL,52.32,,False
PUT ,52.55,0.006471532473367557,False
CALL,52.81,,False
PUT ,53.05,0.006469540026958919,False
CALL,53.31,,False
PUT ,53.52,0.008500365725695808,False
CALL,53.82,,False
CALL,53.91,,False
PUT ,54.03,0.006650550103660462,False
CALL,54.33,,False
PUT ,54.5,0.006648679167361279,False
CALL,54.84,,False
PUT ,54.88,0.01027304477051766,False
PUT ,55.01,0.00646230965394721,False
CALL,55.36,,False
PUT ,55.5,0.006460774933120272,False
CALL,55.86,,False
PUT ,55.99,0.006459221528112042,False
CALL,56.39,,False
PUT ,56.46,0.0064577318361605015,False
CALL,56.9,,False
PUT ,56.97,0.006456306979992921,False
CALL,57.39,,False
PUT ,57.46,0.0064549481153297955,False
CALL,57.93,,False
PUT ,57.96,0.006453572186131518,False
CALL,58.44,,False
PUT ,58.44,0.006636707289271327,False
PUT ,58.55,0.010584759729829711,False
PUT ,58.93,0.006451108966527713,False
CALL,58.97,,False
PUT ,59.39,0.006634141227931524,False
CALL,59.48,,False
PUT ,59.88,0.0064487547363860625,False
CALL,60.0,,False
CALL,60.5,,False
PUT ,60.82,0.006630705782895567,False
CALL,61.53,,False
PUT ,61.71,0.0064444785024029595,False
PUT ,61.89,0.010896498873245515,False
CALL,62.52,,False
PUT ,62.59,0.006626647228842211,False
CALL,63.46,,False
PUT ,64.4,0.006439139704089506,False
PUT ,65.28,0.00643763322086317,False
PUT ,65.37,0.10794945151817929,False
CALL,65.46,,False
PUT ,66.2,0.006436178045352094,False
CALL,66.49,,False
PUT ,67.11,0.007170312951186396,False
CALL,67.59,,False
PUT ,68.11,0.008088176394599137,False
PUT ,68.53,0.011520049723629421,False
CALL,68.69,,False
PUT ,69.12,0.006432638730691575,False
CALL,69.89,,False
PUT ,70.15,0.0066153877104368885,False
CALL,71.03,,False
PUT ,71.09,0.008451827739493266,False
PUT ,71.82,0.012169925782247933,False
PUT ,72.07,0.008450815756578722,False
CALL,72.32,,False
PUT ,73.1,0.006429108607229961,False
CALL,73.55,,False
PUT ,74.23,0.006428394552226561,False
CALL,74.85,,False
PUT ,76.2,0.006427114938536548,False
CALL,76.23,,False
CALL,77.58,,False
PUT ,78.51,0.006609579501234801,False
