Unnamed: 0,Instrument,CF_DATE,EXPIR_DATE,PUTCALLIND,STRIKE_PRC,CF_CLOSE,IMP_VOLT
268,/GDAX126500R0.EX,2020-05-14,2020-06-19,PUT ,12650.0,2336.5,26.5
203,/GDAX110500F0.EX,2020-05-15,2020-06-19,CALL,11050.0,109.4,26.5
204,/GDAX110500R0.EX,2020-05-08,2020-06-19,PUT ,11050.0,843.0,26.53
275,/GDAX128500F0.EX,2020-05-11,2020-06-19,CALL,12850.0,1.3,26.63
270,/GDAX127000R0.EX,2020-05-06,2020-06-19,PUT ,12700.0,2386.4,26.85
201,/GDAX110000F0.EX,2020-05-15,2020-06-19,CALL,11000.0,123.6,26.89
202,/GDAX110000R0.EX,2020-05-15,2020-06-19,PUT ,11000.0,807.1,26.89
277,/GDAX129000F0.EX,2020-05-11,2020-06-19,CALL,12900.0,1.2,26.9
279,/GDAX129500F0.EX,2020-05-11,2020-06-19,CALL,12950.0,1.1,27.16
272,/GDAX127500R0.EX,2020-03-19,2020-06-19,PUT ,12750.0,2436.3,27.19
199,/GDAX109500F0.EX,2020-05-15,2020-06-19,CALL,10950.0,138.9,27.27
200,/GDAX109500R0.EX,2020-05-12,2020-06-19,PUT ,10950.0,772.3,27.28
281,/GDAX130000F0.EX,2020-05-15,2020-06-19,CALL,13000.0,1.0,27.4
274,/GDAX128000R0.EX,2020-04-29,2020-06-19,PUT ,12800.0,2486.3,27.51
283,/GDAX130500F0.EX,2020-05-11,2020-06-19,CALL,13050.0,1.0,27.63
197,/GDAX109000F0.EX,2020-05-15,2020-06-19,CALL,10900.0,155.3,27.65
198,/GDAX109000R0.EX,2020-05-14,2020-06-19,PUT ,10900.0,738.7,27.65
276,/GDAX128500R0.EX,2020-04-21,2020-06-19,PUT ,12850.0,2536.2,27.83
285,/GDAX131000F0.EX,2020-05-11,2020-06-19,CALL,13100.0,0.9,27.84
287,/GDAX131500F0.EX,2020-04-28,2020-06-19,CALL,13150.0,0.9,28.04
196,/GDAX108500R0.EX,2020-05-14,2020-06-19,PUT ,10850.0,706.4,28.05
195,/GDAX108500F0.EX,2020-05-15,2020-06-19,CALL,10850.0,172.9,28.05
278,/GDAX129000R0.EX,2020-05-05,2020-06-19,PUT ,12900.0,2586.2,28.14
289,/GDAX132000F0.EX,2020-05-11,2020-06-19,CALL,13200.0,0.8,28.21
280,/GDAX129500R0.EX,2020-05-06,2020-06-19,PUT ,12950.0,2636.1,28.43
194,/GDAX108000R0.EX,2020-05-15,2020-06-19,PUT ,10800.0,675.0,28.44
193,/GDAX108000F0.EX,2020-05-15,2020-06-19,CALL,10800.0,191.6,28.44
291,/GDAX132500F0.EX,2020-04-21,2020-06-19,CALL,13250.0,0.8,28.61
282,/GDAX130000R0.EX,2020-05-15,2020-06-19,PUT ,13000.0,2686.1,28.71
293,/GDAX133000F0.EX,2020-05-11,2020-06-19,CALL,13300.0,0.7,28.76
191,/GDAX107500F0.EX,2020-05-15,2020-06-19,CALL,10750.0,211.8,28.86
192,/GDAX107500R0.EX,2020-05-15,2020-06-19,PUT ,10750.0,645.1,28.87
295,/GDAX133500F0.EX,2020-03-12,2020-06-19,CALL,13350.0,0.7,28.88
284,/GDAX130500R0.EX,2020-05-05,2020-06-19,PUT ,13050.0,2736.1,29.13
297,/GDAX134000F0.EX,2020-05-13,2020-06-19,CALL,13400.0,0.6,29.27
190,/GDAX107000R0.EX,2020-05-15,2020-06-19,PUT ,10700.0,616.3,29.29
189,/GDAX107000F0.EX,2020-05-15,2020-06-19,CALL,10700.0,233.0,29.29
299,/GDAX134500F0.EX,2020-05-06,2020-06-19,CALL,13450.0,0.6,29.35
286,/GDAX131000R0.EX,2020-05-15,2020-06-19,PUT ,13100.0,2786.0,29.4
301,/GDAX135000F0.EX,2020-05-11,2020-06-19,CALL,13500.0,0.6,29.4
188,/GDAX106500R0.EX,2020-05-15,2020-06-19,PUT ,10650.0,588.9,29.73
187,/GDAX106500F0.EX,2020-05-15,2020-06-19,CALL,10650.0,255.7,29.74
303,/GDAX135500F0.EX,2020-04-15,2020-06-19,CALL,13550.0,0.6,29.78
288,/GDAX131500R0.EX,2020-04-30,2020-06-19,PUT ,13150.0,2836.0,29.8
307,/GDAX136500F0.EX,2020-05-11,2020-06-19,CALL,13650.0,0.5,30.15
305,/GDAX136000F0.EX,2020-05-15,2020-06-19,CALL,13600.0,0.5,30.16
185,/GDAX106000F0.EX,2020-05-15,2020-06-19,CALL,10600.0,279.4,30.19
186,/GDAX106000R0.EX,2020-05-15,2020-06-19,PUT ,10600.0,562.6,30.19
290,/GDAX132000R0.EX,2020-05-15,2020-06-19,PUT ,13200.0,2886.0,30.21
292,/GDAX132500R0.EX,2020-05-05,2020-06-19,PUT ,13250.0,2936.0,30.45
311,/GDAX137500F0.EX,2020-03-24,2020-06-19,CALL,13750.0,0.5,30.45
309,/GDAX137000F0.EX,2020-05-11,2020-06-19,CALL,13700.0,0.5,30.52
184,/GDAX105500R0.EX,2020-05-15,2020-06-19,PUT ,10550.0,537.6,30.67
183,/GDAX105500F0.EX,2020-05-15,2020-06-19,CALL,10550.0,304.4,30.68
313,/GDAX138000F0.EX,2020-05-15,2020-06-19,CALL,13800.0,0.4,30.82
294,/GDAX133000R0.EX,2020-04-21,2020-06-19,PUT ,13300.0,2986.0,30.85
317,/GDAX139000F0.EX,2020-05-14,2020-06-19,CALL,13900.0,0.4,31.03
182,/GDAX105000R0.EX,2020-05-15,2020-06-19,PUT ,10500.0,513.6,31.14
181,/GDAX105000F0.EX,2020-05-15,2020-06-19,CALL,10500.0,330.5,31.16
315,/GDAX138500F0.EX,2020-04-27,2020-06-19,CALL,13850.0,0.4,31.18
296,/GDAX133500R0.EX,2020-05-06,2020-06-19,PUT ,13350.0,3036.0,31.24
319,/GDAX139500F0.EX,2020-03-06,2020-06-19,CALL,13950.0,0.4,31.38
298,/GDAX134000R0.EX,2020-05-13,2020-06-19,PUT ,13400.0,3086.0,31.46
180,/GDAX104500R0.EX,2020-05-15,2020-06-19,PUT ,10450.0,490.6,31.61
179,/GDAX104500F0.EX,2020-05-15,2020-06-19,CALL,10450.0,357.4,31.62
321,/GDAX140000F0.EX,2020-05-15,2020-06-19,CALL,14000.0,0.4,31.73
325,/GDAX141000F0.EX,2020-05-11,2020-06-19,CALL,14100.0,0.3,31.81
300,/GDAX134500R0.EX,2020-04-17,2020-06-19,PUT ,13450.0,3136.0,31.84
323,/GDAX140500F0.EX,2020-03-13,2020-06-19,CALL,14050.0,0.3,32.08
178,/GDAX104000R0.EX,2020-05-15,2020-06-19,PUT ,10400.0,468.6,32.09
177,/GDAX104000F0.EX,2020-05-15,2020-06-19,CALL,10400.0,385.5,32.11
327,/GDAX141500F0.EX,2020-03-17,2020-06-19,CALL,14150.0,0.3,32.15
302,/GDAX135000R0.EX,2020-05-13,2020-06-19,PUT ,13500.0,3186.0,32.22
329,/GDAX142000F0.EX,2020-05-11,2020-06-19,CALL,14200.0,0.3,32.49
176,/GDAX103500R0.EX,2020-05-15,2020-06-19,PUT ,10350.0,447.6,32.56
175,/GDAX103500F0.EX,2020-05-14,2020-06-19,CALL,10350.0,414.5,32.57
304,/GDAX135500R0.EX,2020-05-06,2020-06-19,PUT ,13550.0,3236.0,32.6
335,/GDAX143500F0.EX,2020-04-30,2020-06-19,CALL,14350.0,0.3,32.71
331,/GDAX142500F0.EX,2020-05-08,2020-06-19,CALL,14250.0,0.3,32.82
306,/GDAX136000R0.EX,2020-03-24,2020-06-19,PUT ,13600.0,3286.0,32.97
337,/GDAX144000F0.EX,2020-05-11,2020-06-19,CALL,14400.0,0.3,33.03
174,/GDAX103000R0.EX,2020-05-15,2020-06-19,PUT ,10300.0,427.5,33.04
173,/GDAX103000F0.EX,2020-05-15,2020-06-19,CALL,10300.0,444.5,33.06
333,/GDAX143000F0.EX,2020-05-15,2020-06-19,CALL,14300.0,0.3,33.16
308,/GDAX136500R0.EX,2020-02-13,2020-06-19,PUT ,13650.0,3336.0,33.34
339,/GDAX144500F0.EX,2020-03-13,2020-06-19,CALL,14450.0,0.3,33.36
172,/GDAX102500R0.EX,2020-05-15,2020-06-19,PUT ,10250.0,408.3,33.52
171,/GDAX102500F0.EX,2020-05-15,2020-06-19,CALL,10250.0,475.4,33.53
341,/GDAX145000F0.EX,2020-04-24,2020-06-19,CALL,14500.0,0.3,33.68
310,/GDAX137000R0.EX,2020-03-18,2020-06-19,PUT ,13700.0,3386.1,33.71
170,/GDAX102000R0.EX,2020-05-15,2020-06-19,PUT ,10200.0,390.0,33.99
343,/GDAX145500F0.EX,2020-03-12,2020-06-19,CALL,14550.0,0.2,34.0
169,/GDAX102000F0.EX,2020-05-15,2020-06-19,CALL,10200.0,507.2,34.02
312,/GDAX137500R0.EX,2020-04-01,2020-06-19,PUT ,13750.0,3436.1,34.08
345,/GDAX146000F0.EX,2020-04-16,2020-06-19,CALL,14600.0,0.2,34.32
314,/GDAX138000R0.EX,2020-04-09,2020-06-19,PUT ,13800.0,3486.1,34.44
168,/GDAX101500R0.EX,2020-05-14,2020-06-19,PUT ,10150.0,372.5,34.46
353,/GDAX148000F0.EX,2020-04-02,2020-06-19,CALL,14800.0,0.2,34.49
167,/GDAX101500F0.EX,2020-05-14,2020-06-19,CALL,10150.0,539.7,34.49
347,/GDAX146500F0.EX,2020-04-24,2020-06-19,CALL,14650.0,0.2,34.64
355,/GDAX148500F0.EX,2020-03-24,2020-06-19,CALL,14850.0,0.2,34.79
316,/GDAX138500R0.EX,2020-03-09,2020-06-19,PUT ,13850.0,3536.1,34.8
166,/GDAX101000R0.EX,2020-05-15,2020-06-19,PUT ,10100.0,355.9,34.94
349,/GDAX147000F0.EX,2020-04-16,2020-06-19,CALL,14700.0,0.2,34.96
165,/GDAX101000F0.EX,2020-05-15,2020-06-19,CALL,10100.0,573.1,34.97
357,/GDAX149000F0.EX,2020-04-20,2020-06-19,CALL,14900.0,0.2,35.09
318,/GDAX139000R0.EX,2020-05-13,2020-06-19,PUT ,13900.0,3586.1,35.16
351,/GDAX147500F0.EX,2020-03-17,2020-06-19,CALL,14750.0,0.2,35.27
359,/GDAX149500F0.EX,2020-03-27,2020-06-19,CALL,14950.0,0.2,35.4
164,/GDAX100500R0.EX,2020-05-15,2020-06-19,PUT ,10050.0,340.1,35.42
163,/GDAX100500F0.EX,2020-04-03,2020-06-19,CALL,10050.0,607.2,35.45
320,/GDAX139500R0.EX,2020-03-09,2020-06-19,PUT ,13950.0,3636.1,35.52
361,/GDAX150000F0.EX,2020-04-23,2020-06-19,CALL,15000.0,0.2,35.7
322,/GDAX140000R0.EX,2020-04-24,2020-06-19,PUT ,14000.0,3686.2,35.87
162,/GDAX100000R0.EX,2020-05-15,2020-06-19,PUT ,10000.0,324.7,35.89
161,/GDAX100000F0.EX,2020-05-15,2020-06-19,CALL,10000.0,642.0,35.92
324,/GDAX140500R0.EX,2020-05-15,2020-06-19,PUT ,14050.0,3736.2,36.22
160,/GDAX99500R0.EX,2020-05-15,2020-06-19,PUT ,9950.0,310.1,36.37
159,/GDAX99500F0.EX,2020-05-13,2020-06-19,CALL,9950.0,677.5,36.4
326,/GDAX141000R0.EX,2020-03-04,2020-06-19,PUT ,14100.0,3786.2,36.56
158,/GDAX99000R0.EX,2020-05-15,2020-06-19,PUT ,9900.0,296.3,36.84
157,/GDAX99000F0.EX,2020-05-15,2020-06-19,CALL,9900.0,713.7,36.87
328,/GDAX141500R0.EX,2020-05-15,2020-06-19,PUT ,14150.0,3836.2,37.13
156,/GDAX98500R0.EX,2020-05-15,2020-06-19,PUT ,9850.0,283.1,37.31
155,/GDAX98500F0.EX,2020-05-14,2020-06-19,CALL,9850.0,750.4,37.36
330,/GDAX142000R0.EX,2020-05-15,2020-06-19,PUT ,14200.0,3886.3,37.47
154,/GDAX98000R0.EX,2020-05-15,2020-06-19,PUT ,9800.0,270.3,37.79
332,/GDAX142500R0.EX,2019-11-20,2020-06-19,PUT ,14250.0,3936.3,37.81
153,/GDAX98000F0.EX,2020-05-14,2020-06-19,CALL,9800.0,787.8,37.83
334,/GDAX143000R0.EX,2020-03-05,2020-06-19,PUT ,14300.0,3986.3,38.15
152,/GDAX97500R0.EX,2020-05-15,2020-06-19,PUT ,9750.0,258.4,38.26
151,/GDAX97500F0.EX,2020-05-15,2020-06-19,CALL,9750.0,825.8,38.3
336,/GDAX143500R0.EX,2020-05-15,2020-06-19,PUT ,14350.0,4036.4,38.49
363,/GDAX155000F0.EX,2020-04-17,2020-06-19,CALL,15500.0,0.2,38.64
150,/GDAX97000R0.EX,2020-05-15,2020-06-19,PUT ,9700.0,246.7,38.74
149,/GDAX97000F0.EX,2020-05-14,2020-06-19,CALL,9700.0,864.3,38.77
338,/GDAX144000R0.EX,2020-02-14,2020-06-19,PUT ,14400.0,4086.4,39.05
148,/GDAX96500R0.EX,2020-05-15,2020-06-19,PUT ,9650.0,235.7,39.22
147,/GDAX96500F0.EX,2020-04-02,2020-06-19,CALL,9650.0,903.3,39.27
340,/GDAX144500R0.EX,2020-05-15,2020-06-19,PUT ,14450.0,4136.4,39.38
365,/GDAX160000F0.EX,2020-03-20,2020-06-19,CALL,16000.0,0.1,39.5
146,/GDAX96000R0.EX,2020-05-15,2020-06-19,PUT ,9600.0,225.3,39.69
342,/GDAX145000R0.EX,2020-02-21,2020-06-19,PUT ,14500.0,4186.4,39.72
145,/GDAX96000F0.EX,2020-05-14,2020-06-19,CALL,9600.0,942.9,39.74
344,/GDAX145500R0.EX,2020-05-15,2020-06-19,PUT ,14550.0,4236.5,40.05
144,/GDAX95500R0.EX,2020-05-13,2020-06-19,PUT ,9550.0,215.3,40.16
143,/GDAX95500F0.EX,2020-04-14,2020-06-19,CALL,9550.0,982.9,40.22
346,/GDAX146000R0.EX,2020-03-12,2020-06-19,PUT ,14600.0,4286.5,40.6
142,/GDAX95000R0.EX,2020-05-15,2020-06-19,PUT ,9500.0,205.7,40.63
141,/GDAX95000F0.EX,2020-05-15,2020-06-19,CALL,9500.0,1023.3,40.69
348,/GDAX146500R0.EX,2020-01-20,2020-06-19,PUT ,14650.0,4336.5,40.93
140,/GDAX94500R0.EX,2020-05-14,2020-06-19,PUT ,9450.0,196.6,41.12
139,/GDAX94500F0.EX,2020-05-15,2020-06-19,CALL,9450.0,1064.2,41.18
350,/GDAX147000R0.EX,2020-05-15,2020-06-19,PUT ,14700.0,4386.6,41.25
138,/GDAX94000R0.EX,2020-05-15,2020-06-19,PUT ,9400.0,187.8,41.58
352,/GDAX147500R0.EX,2020-05-15,2020-06-19,PUT ,14750.0,4436.6,41.58
137,/GDAX94000F0.EX,2020-05-15,2020-06-19,CALL,9400.0,1105.5,41.65
136,/GDAX93500R0.EX,2020-05-15,2020-06-19,PUT ,9350.0,179.5,42.06
367,/GDAX165000F0.EX,2020-02-12,2020-06-19,CALL,16500.0,0.1,42.11
354,/GDAX148000R0.EX,2020-05-12,2020-06-19,PUT ,14800.0,4486.6,42.13
135,/GDAX93500F0.EX,2020-04-15,2020-06-19,CALL,9350.0,1147.1,42.14
356,/GDAX148500R0.EX,2020-05-15,2020-06-19,PUT ,14850.0,4536.7,42.45
134,/GDAX93000R0.EX,2020-05-15,2020-06-19,PUT ,9300.0,171.5,42.53
133,/GDAX93000F0.EX,2020-05-12,2020-06-19,CALL,9300.0,1189.3,42.6
358,/GDAX149000R0.EX,2020-01-15,2020-06-19,PUT ,14900.0,4586.7,42.77
132,/GDAX92500R0.EX,2020-05-15,2020-06-19,PUT ,9250.0,163.9,43.0
131,/GDAX92500F0.EX,2020-03-24,2020-06-19,CALL,9250.0,1231.7,43.07
360,/GDAX149500R0.EX,2020-05-15,2020-06-19,PUT ,14950.0,4636.7,43.32
130,/GDAX92000R0.EX,2020-05-15,2020-06-19,PUT ,9200.0,156.6,43.45
129,/GDAX92000F0.EX,2020-05-14,2020-06-19,CALL,9200.0,1274.5,43.55
362,/GDAX150000R0.EX,2020-04-20,2020-06-19,PUT ,15000.0,4686.8,43.64
128,/GDAX91500R0.EX,2020-05-15,2020-06-19,PUT ,9150.0,149.7,43.92
127,/GDAX91500F0.EX,2020-05-15,2020-06-19,CALL,9150.0,1317.6,44.02
126,/GDAX91000R0.EX,2020-05-15,2020-06-19,PUT ,9100.0,143.1,44.39
125,/GDAX91000F0.EX,2020-05-13,2020-06-19,CALL,9100.0,1361.0,44.49
369,/GDAX170000F0.EX,2020-03-02,2020-06-19,CALL,17000.0,0.1,44.63
124,/GDAX90500R0.EX,2020-05-15,2020-06-19,PUT ,9050.0,136.7,44.85
123,/GDAX90500F0.EX,2020-04-17,2020-06-19,CALL,9050.0,1404.7,44.95
122,/GDAX90000R0.EX,2020-05-15,2020-06-19,PUT ,9000.0,130.7,45.32
121,/GDAX90000F0.EX,2020-05-15,2020-06-19,CALL,9000.0,1448.7,45.42
120,/GDAX89500R0.EX,2020-05-06,2020-06-19,PUT ,8950.0,124.9,45.79
119,/GDAX89500F0.EX,2020-04-06,2020-06-19,CALL,8950.0,1492.9,45.91
118,/GDAX89000R0.EX,2020-05-15,2020-06-19,PUT ,8900.0,119.3,46.25
117,/GDAX89000F0.EX,2020-05-15,2020-06-19,CALL,8900.0,1537.4,46.39
116,/GDAX88500R0.EX,2020-05-15,2020-06-19,PUT ,8850.0,113.9,46.73
115,/GDAX88500F0.EX,2020-03-23,2020-06-19,CALL,8850.0,1582.0,46.87
371,/GDAX175000F0.EX,2019-05-14,2020-06-19,CALL,17500.0,0.1,47.07
114,/GDAX88000R0.EX,2020-05-15,2020-06-19,PUT ,8800.0,108.8,47.21
113,/GDAX88000F0.EX,2020-03-24,2020-06-19,CALL,8800.0,1626.9,47.35
364,/GDAX155000R0.EX,2020-05-04,2020-06-19,PUT ,15500.0,5187.1,47.43
112,/GDAX87500R0.EX,2020-05-15,2020-06-19,PUT ,8750.0,103.8,47.69
111,/GDAX87500F0.EX,2020-05-15,2020-06-19,CALL,8750.0,1672.0,47.83
110,/GDAX87000R0.EX,2020-05-15,2020-06-19,PUT ,8700.0,99.1,48.16
109,/GDAX87000F0.EX,2020-04-30,2020-06-19,CALL,8700.0,1717.3,48.32
108,/GDAX86500R0.EX,2020-05-15,2020-06-19,PUT ,8650.0,94.6,48.65
107,/GDAX86500F0.EX,2020-05-15,2020-06-19,CALL,8650.0,1762.8,48.81
106,/GDAX86000R0.EX,2020-05-15,2020-06-19,PUT ,8600.0,90.3,49.13
105,/GDAX86000F0.EX,2020-03-30,2020-06-19,CALL,8600.0,1808.6,49.29
373,/GDAX180000F0.EX,2020-02-27,2020-06-19,CALL,18000.0,0.1,49.42
104,/GDAX85500R0.EX,2020-05-15,2020-06-19,PUT ,8550.0,86.1,49.62
