Unnamed: 0,Instrument,CF_DATE,EXPIR_DATE,PUTCALLIND,STRIKE_PRC,CF_CLOSE,IMP_VOLT,IMP_VOLT_RANGE,T,MODEL_PRICE
287,/GDAX131500F0.EX,2020-04-28,2020-06-19,CALL,13150.0,0.9,28.04,28,0.14236824093086928,0.0
196,/GDAX108500R0.EX,2020-05-14,2020-06-19,PUT ,10850.0,706.4,28.05,28,0.09856262833675565,10197.20219675667
195,/GDAX108500F0.EX,2020-05-15,2020-06-19,CALL,10850.0,172.9,28.05,28,0.09582477754962354,4.6838977141305804e-11
278,/GDAX129000R0.EX,2020-05-05,2020-06-19,PUT ,12900.0,2586.2,28.14,28,0.12320328542094455,10393.511384637019
289,/GDAX132000F0.EX,2020-05-11,2020-06-19,CALL,13200.0,0.8,28.21,28,0.10677618069815195,5.056031482375545e-09
280,/GDAX129500R0.EX,2020-05-06,2020-06-19,PUT ,12950.0,2636.1,28.43,28,0.12046543463381246,10392.136753692885
194,/GDAX108000R0.EX,2020-05-15,2020-06-19,PUT ,10800.0,675.0,28.44,28,0.09582477754962354,10176.869540329626
193,/GDAX108000F0.EX,2020-05-15,2020-06-19,CALL,10800.0,191.6,28.44,28,0.09582477754962354,2.4178280000342056e-07
291,/GDAX132500F0.EX,2020-04-21,2020-06-19,CALL,13250.0,0.8,28.61,28,0.16153319644079397,0.0
282,/GDAX130000R0.EX,2020-05-15,2020-06-19,PUT ,13000.0,2686.1,28.71,28,0.09582477754962354,10376.33555780418
293,/GDAX133000F0.EX,2020-05-11,2020-06-19,CALL,13300.0,0.7,28.76,28,0.10677618069815195,9.909715048550538e-09
191,/GDAX107500F0.EX,2020-05-15,2020-06-19,CALL,10750.0,211.8,28.86,28,0.09582477754962354,0.0
192,/GDAX107500R0.EX,2020-05-15,2020-06-19,PUT ,10750.0,645.1,28.87,28,0.09582477754962354,10156.52940356884
295,/GDAX133500F0.EX,2020-03-12,2020-06-19,CALL,13350.0,0.7,28.88,28,0.27104722792607805,0.0
284,/GDAX130500R0.EX,2020-05-05,2020-06-19,PUT ,13050.0,2736.1,29.13,29,0.12320328542094455,10394.538262295255
297,/GDAX134000F0.EX,2020-05-13,2020-06-19,CALL,13400.0,0.6,29.27,29,0.10130047912388775,1.3089289652157277e-09
190,/GDAX107000R0.EX,2020-05-15,2020-06-19,PUT ,10700.0,616.3,29.29,29,0.09582477754962354,10135.089266917073
189,/GDAX107000F0.EX,2020-05-15,2020-06-19,CALL,10700.0,233.0,29.29,29,0.09582477754962354,0.0
299,/GDAX134500F0.EX,2020-05-06,2020-06-19,CALL,13450.0,0.6,29.35,29,0.12046543463381246,1.1864536020311789e-09
286,/GDAX131000R0.EX,2020-05-15,2020-06-19,PUT ,13100.0,2786.0,29.4,29,0.09582477754962354,10376.91583132575
301,/GDAX135000F0.EX,2020-05-11,2020-06-19,CALL,13500.0,0.6,29.4,29,0.10677618069815195,0.0
188,/GDAX106500R0.EX,2020-05-15,2020-06-19,PUT ,10650.0,588.9,29.73,29,0.09582477754962354,10112.249130089811
187,/GDAX106500F0.EX,2020-05-15,2020-06-19,CALL,10650.0,255.7,29.74,29,0.09582477754962354,2.465295665388112e-07
303,/GDAX135500F0.EX,2020-04-15,2020-06-19,CALL,13550.0,0.6,29.78,29,0.17796030116358658,7.3044740256378304e-09
288,/GDAX131500R0.EX,2020-04-30,2020-06-19,PUT ,13150.0,2836.0,29.8,29,0.13689253935660506,10404.315580256423
307,/GDAX136500F0.EX,2020-05-11,2020-06-19,CALL,13650.0,0.5,30.15,30,0.10677618069815195,0.0
305,/GDAX136000F0.EX,2020-05-15,2020-06-19,CALL,13600.0,0.5,30.16,30,0.09582477754962354,0.0
185,/GDAX106000F0.EX,2020-05-15,2020-06-19,CALL,10600.0,279.4,30.19,30,0.09582477754962354,9.964941227735835e-08
186,/GDAX106000R0.EX,2020-05-15,2020-06-19,PUT ,10600.0,562.6,30.19,30,0.09582477754962354,10088.308993286484
290,/GDAX132000R0.EX,2020-05-15,2020-06-19,PUT ,13200.0,2886.0,30.21,30,0.09582477754962354,10377.396106754157
292,/GDAX132500R0.EX,2020-05-05,2020-06-19,PUT ,13250.0,2936.0,30.45,30,0.12320328542094455,10395.874096623293
311,/GDAX137500F0.EX,2020-03-24,2020-06-19,CALL,13750.0,0.5,30.45,30,0.23819301848049282,0.0
309,/GDAX137000F0.EX,2020-05-11,2020-06-19,CALL,13700.0,0.5,30.52,30,0.10677618069815195,0.0
184,/GDAX105500R0.EX,2020-05-15,2020-06-19,PUT ,10550.0,537.6,30.67,30,0.09582477754962354,10063.068856581278
183,/GDAX105500F0.EX,2020-05-15,2020-06-19,CALL,10550.0,304.4,30.68,30,0.09582477754962354,0.0
313,/GDAX138000F0.EX,2020-05-15,2020-06-19,CALL,13800.0,0.4,30.82,30,0.09582477754962354,0.0
294,/GDAX133000R0.EX,2020-04-21,2020-06-19,PUT ,13300.0,2986.0,30.85,30,0.16153319644079397,10421.854541573291
317,/GDAX139000F0.EX,2020-05-14,2020-06-19,CALL,13900.0,0.4,31.03,31,0.09856262833675565,1.034398067201181e-09
182,/GDAX105000R0.EX,2020-05-15,2020-06-19,PUT ,10500.0,513.6,31.14,31,0.09582477754962354,10036.828720038613
181,/GDAX105000F0.EX,2020-05-15,2020-06-19,CALL,10500.0,330.5,31.16,31,0.09582477754962354,0.0
315,/GDAX138500F0.EX,2020-04-27,2020-06-19,CALL,13850.0,0.4,31.18,31,0.14510609171800137,0.0
296,/GDAX133500R0.EX,2020-05-06,2020-06-19,PUT ,13350.0,3036.0,31.24,31,0.12046543463381246,10394.653332601956
319,/GDAX139500F0.EX,2020-03-06,2020-06-19,CALL,13950.0,0.4,31.38,31,0.2874743326488706,0.0
