PUTCALLIND,IMP_VOLT,PERCENTAGE_ERROR,OUTSIDE_THRESHOLD
PUT ,39.69,5.02582382533912,True
PUT ,39.72,24.873580441816998,True
CALL,39.74,inf,True
PUT ,40.05,7.6205043427747405,True
PUT ,40.16,5.315871943339808,True
CALL,40.22,inf,True
PUT ,40.6,22.380887034784706,True
PUT ,40.63,5.016940742171112,True
CALL,40.69,,False
PUT ,40.93,35.30272347764096,True
PUT ,41.12,5.158910593452219,True
CALL,41.18,inf,True
PUT ,41.25,6.995340831330266,True
PUT ,41.58,5.007925990634063,True
PUT ,41.58,7.019134507627278,True
CALL,41.65,inf,True
PUT ,42.06,5.00474311458666,True
CALL,42.11,inf,True
PUT ,42.13,7.662456347757647,True
CALL,42.14,inf,True
PUT ,42.45,7.066790380693617,True
PUT ,42.53,5.000079795001936,True
CALL,42.6,inf,True
PUT ,42.77,34.39459747617343,True
PUT ,43.0,4.996404916166383,False
CALL,43.07,inf,True
PUT ,43.32,7.114378194705388,True
PUT ,43.45,4.992861203356194,False
CALL,43.55,inf,True
PUT ,43.64,12.450489376664414,True
PUT ,43.92,4.989505606159719,False
CALL,44.02,,False
PUT ,44.39,4.986893488823661,False
CALL,44.49,inf,True
CALL,44.63,inf,True
PUT ,44.85,4.983693784352228,False
CALL,44.95,,False
PUT ,45.32,4.9801975580872995,False
CALL,45.42,,False
PUT ,45.79,6.296234187972417,True
CALL,45.91,inf,True
PUT ,46.25,4.97455542265422,False
CALL,46.39,,False
PUT ,46.73,4.971862169922144,False
CALL,46.87,inf,True
CALL,47.07,inf,True
PUT ,47.21,4.969375210008139,False
CALL,47.35,inf,True
PUT ,47.43,9.770024542199634,True
PUT ,47.69,4.9671307713203,False
CALL,47.83,inf,True
PUT ,48.16,4.964422792406886,False
CALL,48.32,inf,True
PUT ,48.65,4.962142073950666,False
CALL,48.81,inf,True
PUT ,49.13,4.959953534550974,False
CALL,49.29,,False
CALL,49.42,,False
PUT ,49.62,4.957799938296141,False
CALL,49.81,inf,True
PUT ,50.1,4.956046950842205,False
CALL,50.29,,False
PUT ,50.59,4.953895417739077,False
CALL,50.81,,False
PUT ,51.08,4.95202961988215,False
PUT ,51.09,25.708222481247418,True
CALL,51.3,inf,True
PUT ,51.57,5.095213085963507,True
CALL,51.7,,False
CALL,51.81,inf,True
PUT ,52.07,4.948535482669298,False
CALL,52.32,inf,True
PUT ,52.55,4.946909637683089,False
CALL,52.81,,False
PUT ,53.05,4.945386589003549,False
CALL,53.31,,False
PUT ,53.52,6.5472681332353035,True
CALL,53.82,,False
CALL,53.91,inf,True
PUT ,54.03,5.087257021240752,True
CALL,54.33,inf,True
PUT ,54.5,5.090667593479068,True
CALL,54.84,inf,True
PUT ,54.88,7.852935045218867,True
PUT ,55.01,4.939911232689658,False
CALL,55.36,,False
PUT ,55.5,4.938686456177366,False
CALL,55.86,inf,True
PUT ,55.99,4.9380734790585015,False
CALL,56.39,inf,True
PUT ,56.46,4.9376861032831565,False
CALL,56.9,inf,True
PUT ,56.97,4.9353806262247994,False
CALL,57.39,,False
PUT ,57.46,4.934232374482934,False
CALL,57.93,inf,True
PUT ,57.96,4.933180598234327,False
